,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total_Assets,Assets_score,Assets_to_loan_score,Income_to_loan,Income_to_loan_score,Income_to_Loan_score_per_dependancy
59,4, Not Graduate, Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000,1,23400000,18649800000,1024.7142857142858,4.835164835164835,3853.6263736263736,770.7252747252747
60,2, Not Graduate, No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,0,66000000,31548000000,1669.2063492063492,8.095238095238095,3869.523809523809,1289.8412698412696
61,3, Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,1,33100000,22143900000,726.0295081967213,5.665573770491803,3790.268852459016,947.567213114754
62,5, Not Graduate, Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,0,60400000,22046000000,762.8373702422145,1.8269896193771626,666.8512110726643,111.14186851211072
63,3, Not Graduate, Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,1,17700000,10372200000,1382.96,8.8,5156.8,1289.2
64,4, Graduate, Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,1,27600000,21638400000,1759.219512195122,5.7073170731707314,4474.536585365853,894.9073170731706
65,1, Graduate, No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,0,30500000,11102000000,1077.8640776699028,4.776699029126213,1738.7184466019417,869.3592233009708
66,3, Not Graduate, No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,1,42100000,30101500000,1034.4158075601374,2.852233676975945,2039.3470790378008,509.8367697594502
67,0, Not Graduate, Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,0,7800000,5405400000,535.1881188118812,5.346534653465347,3705.1485148514853,3705.1485148514853
68,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,1,20400000,15850800000,1278.2903225806451,1.8064516129032258,1403.6129032258063,280.72258064516126
69,0, Graduate, No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,0,11700000,3650400000,730.08,4.56,1422.7199999999998,1422.7199999999998
70,4, Not Graduate, Yes,500000,1500000,20,340,100000,200000,1900000,600000,0,2200000,748000000,498.6666666666667,6.666666666666667,2266.666666666667,453.33333333333337
71,5, Graduate, Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,1,24300000,9379800000,504.2903225806452,1.1397849462365592,439.95698924731187,73.32616487455198
72,5, Not Graduate, No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,0,51600000,21568800000,1178.622950819672,1.530054644808743,639.5628415300546,106.59380692167576
73,3, Not Graduate, Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,1,25900000,19036500000,1139.9101796407185,5.5568862275449105,4084.311377245509,1021.0778443113772
74,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0,15900000,7854600000,935.0714285714286,1.8571428571428572,917.4285714285714,305.8095238095238
75,2, Not Graduate, No,1900000,6500000,18,671,600000,2500000,4800000,1100000,1,7900000,5300900000,815.5230769230769,5.2615384615384615,3530.492307692308,1176.8307692307692
76,4, Graduate, No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,1,35000000,24395000000,1648.3108108108108,6.162162162162162,4295.0270270270275,859.0054054054056
77,0, Graduate, No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,1,55900000,44775900000,1336.5940298507462,2.1492537313432836,1721.55223880597,1721.55223880597
78,2, Not Graduate, No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,1,48400000,27878400000,948.2448979591836,3.4693877551020407,1998.3673469387754,666.1224489795918
79,0, Not Graduate, No,700000,1400000,14,639,1900000,700000,2400000,900000,1,5000000,3195000000,2282.1428571428573,7.0,4473.0,4473.0
80,4, Graduate, No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,0,15800000,7426000000,834.3820224719101,1.5730337078651686,739.3258426966293,147.86516853932585
81,0, Not Graduate, No,8800000,31200000,4,826,2900000,500000,33300000,8600000,1,36700000,30314200000,971.6089743589744,1.1282051282051282,931.8974358974359,931.8974358974359
82,2, Not Graduate, Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,0,63500000,23050500000,1087.2877358490566,7.471698113207547,2712.2264150943397,904.0754716981132
83,3, Graduate, No,3600000,8600000,20,613,9400000,300000,10300000,3300000,1,20000000,12260000000,1425.5813953488373,8.372093023255815,5132.093023255814,1283.0232558139535
84,3, Not Graduate, Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,1,22100000,15757300000,1921.621951219512,5.853658536585366,4173.658536585366,1043.4146341463415
85,2, Graduate, No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,0,45100000,19798900000,933.9103773584906,5.132075471698113,2252.9811320754716,750.9937106918238
86,5, Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,0,6300000,2438100000,641.6052631578947,5.2105263157894735,2016.4736842105262,336.07894736842104
87,1, Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,0,61900000,24883800000,879.2862190812721,2.4593639575971733,988.6643109540637,494.33215547703185
88,4, Graduate, Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,1,11600000,9709200000,1213.65,1.5,1255.5,251.1
89,2, Not Graduate, No,9800000,37600000,10,641,24100000,0,23400000,7600000,1,47500000,30447500000,809.7739361702128,2.606382978723404,1670.691489361702,556.8971631205674
90,4, Graduate, No,5700000,21100000,18,489,500000,4300000,12500000,6000000,0,17300000,8459700000,400.93364928909955,4.862559241706161,2377.791469194313,475.5582938388626
91,4, Graduate, No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,0,44800000,24192000000,1168.695652173913,7.6521739130434785,4132.173913043478,826.4347826086956
92,4, Graduate, No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,1,25700000,21690800000,2437.1685393258426,1.7078651685393258,1441.438202247191,288.2876404494382
93,1, Graduate, No,1700000,6400000,10,452,900000,1100000,5600000,2100000,0,7600000,3435200000,536.75,2.65625,1200.625,600.3125
94,2, Graduate, No,1000000,2000000,10,366,1200000,400000,3200000,1300000,0,4800000,1756800000,878.4,5.0,1830.0,610.0
95,5, Graduate, No,300000,1100000,2,300,100000,500000,700000,400000,1,1300000,390000000,354.54545454545456,0.5454545454545454,163.63636363636363,27.27272727272727
96,2, Graduate, Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,0,24200000,11374000000,758.2666666666667,7.92,3722.4,1240.8
97,2, Not Graduate, No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,1,46400000,39950400000,1598.016,6.96,5992.56,1997.5200000000002
98,4, Graduate, No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,1,77500000,43555000000,1481.4625850340135,3.836734693877551,2156.2448979591836,431.2489795918367
99,0, Graduate, No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,0,21000000,9723000000,900.2777777777778,5.703703703703703,2640.814814814815,2640.814814814815
100,4, Not Graduate, No,400000,900000,12,478,700000,100000,1200000,100000,0,2000000,956000000,1062.2222222222222,5.333333333333333,2549.333333333333,509.8666666666666
101,2, Not Graduate, Yes,300000,1100000,2,702,300000,200000,500000,200000,1,1000000,702000000,638.1818181818181,0.5454545454545454,382.9090909090909,127.63636363636363
102,2, Not Graduate, Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,1,26400000,16315200000,1264.7441860465117,6.666666666666667,4120.0,1373.3333333333333
103,4, Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000,1,6500000,4114500000,914.3333333333334,4.266666666666667,2700.8,540.1600000000001
104,5, Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,0,52600000,17410600000,737.7372881355932,2.6271186440677967,869.5762711864407,144.92937853107347
105,3, Not Graduate, Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,1,24800000,20856800000,2150.185567010309,6.927835051546392,5826.309278350515,1456.5773195876288
106,4, Not Graduate, Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,1,37900000,28955600000,1599.756906077348,5.966850828729282,4558.674033149171,911.7348066298342
107,0, Graduate, No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,1,13900000,8214900000,774.9905660377359,1.528301886792453,903.2264150943397,903.2264150943397
108,1, Graduate, Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,1,47600000,34224400000,953.3259052924791,0.5403899721448467,388.5403899721448,194.2701949860724
109,2, Graduate, No,3300000,6800000,14,317,3400000,300000,11700000,3600000,0,15400000,4881800000,717.9117647058823,6.794117647058823,2153.735294117647,717.9117647058823
110,0, Not Graduate, No,300000,1100000,8,778,800000,200000,900000,100000,1,1900000,1478200000,1343.8181818181818,2.1818181818181817,1697.4545454545453,1697.4545454545453
111,3, Graduate, Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,0,26600000,8033200000,441.38461538461536,5.6923076923076925,1719.076923076923,429.7692307692308
112,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,0,38200000,19176400000,973.4213197969543,2.883248730964467,1447.3908629441626,241.23181049069376
113,5, Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,1,49400000,43422600000,1964.8235294117646,5.9457013574660635,5226.27149321267,871.0452488687783
114,1, Not Graduate, No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,0,54600000,23860200000,1019.6666666666666,5.0256410256410255,2196.205128205128,1098.102564102564
115,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,1,14300000,11397100000,1055.287037037037,3.6666666666666665,2922.333333333333,2922.333333333333
116,4, Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,0,42900000,19562400000,843.2068965517242,4.5,2052.0,410.4
117,0, Not Graduate, No,600000,1600000,6,647,1500000,600000,1500000,700000,1,3600000,2329200000,1455.75,2.25,1455.75,1455.75
118,0, Not Graduate, No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,0,46400000,17585600000,1113.012658227848,5.468354430379747,2072.506329113924,2072.506329113924
119,1, Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,1,27800000,19932600000,605.854103343465,0.5531914893617021,396.63829787234044,198.31914893617022
120,5, Graduate, No,900000,2300000,16,545,100000,200000,2700000,800000,0,3000000,1635000000,710.8695652173913,6.260869565217392,3412.1739130434785,568.6956521739131
121,2, Graduate, No,800000,3200000,8,317,300000,1000000,2000000,900000,0,3300000,1046100000,326.90625,2.0,634.0,211.33333333333334
122,1, Not Graduate, No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,1,31800000,18126000000,550.9422492401216,2.5835866261398177,1472.644376899696,736.322188449848
123,0, Not Graduate, Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,1,47700000,41260500000,2206.4438502673797,8.663101604278076,7493.582887700535,7493.582887700535
124,3, Graduate, No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,1,40700000,29263300000,1500.6820512820514,5.0256410256410255,3613.4358974358975,903.3589743589744
125,3, Graduate, No,200000,600000,16,821,400000,100000,500000,100000,1,1000000,821000000,1368.3333333333333,5.333333333333333,4378.666666666666,1094.6666666666665
126,4, Not Graduate, Yes,400000,800000,10,859,900000,500000,800000,200000,1,2200000,1889800000,2362.25,5.0,4295.0,859.0
127,3, Not Graduate, No,5100000,18200000,10,395,100000,8000000,15500000,6300000,0,23600000,9322000000,512.1978021978022,2.802197802197802,1106.8681318681317,276.71703296703294
128,2, Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,0,5600000,2402400000,924.0,3.230769230769231,1386.0,462.0
129,3, Graduate, No,400000,1200000,12,861,200000,600000,1100000,200000,1,1900000,1635900000,1363.25,4.0,3444.0,861.0
130,0, Not Graduate, Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,1,60900000,34408500000,1654.2548076923076,6.394230769230769,3612.7403846153848,3612.7403846153848
131,5, Graduate, No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,0,34700000,12387900000,548.137168141593,3.893805309734513,1390.0884955752213,231.68141592920355
132,3, Not Graduate, Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,0,6500000,3022500000,839.5833333333334,9.0,4185.0,1046.25
133,4, Not Graduate, Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,0,46500000,22273500000,1602.410071942446,3.9136690647482015,1874.6474820143885,374.9294964028777
134,3, Not Graduate, No,1500000,5500000,16,717,2100000,800000,4400000,1300000,1,7300000,5234100000,951.6545454545454,4.363636363636363,3128.7272727272725,782.1818181818181
135,3, Graduate, No,1600000,5500000,12,425,600000,800000,5400000,900000,0,6800000,2890000000,525.4545454545455,3.4909090909090907,1483.6363636363635,370.9090909090909
136,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,13900000,6100000,1,20000000,15720000000,941.3173652694611,0.5508982035928144,433.0059880239521,144.33532934131736
137,5, Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,0,14300000,5462600000,815.3134328358209,1.9701492537313432,752.5970149253731,125.4328358208955
138,3, Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,1,11600000,6542400000,769.6941176470589,4.094117647058823,2309.0823529411764,577.2705882352941
139,0, Graduate, No,200000,700000,8,501,500000,200000,700000,100000,0,1400000,701400000,1002.0,2.2857142857142856,1145.142857142857,1145.142857142857
140,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,1,20200000,14685400000,1562.276595744681,2.6595744680851063,1933.5106382978722,644.5035460992907
141,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,1,15000000,13410000000,1788.0,2.88,2574.72,514.944
142,0, Graduate, Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,1,19600000,16248400000,972.9580838323353,5.92814371257485,4914.43113772455,4914.43113772455
143,4, Not Graduate, No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,0,38500000,19481000000,1119.5977011494253,7.586206896551724,3838.6206896551726,767.7241379310345
144,2, Graduate, Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,1,50600000,40581200000,1264.2118380062304,1.6074766355140186,1289.196261682243,429.7320872274143
145,5, Not Graduate, No,600000,1500000,14,543,300000,900000,2100000,300000,0,3300000,1791900000,1194.6,5.6,3040.7999999999997,506.79999999999995
146,3, Graduate, Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,1,8400000,6484800000,2026.5,8.75,6755.0,1688.75
147,3, Graduate, No,4000000,11100000,12,572,9700000,100000,12500000,2400000,1,22300000,12755600000,1149.1531531531532,4.324324324324325,2473.5135135135138,618.3783783783784
148,0, Not Graduate, Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,1,34000000,24106000000,2025.7142857142858,6.588235294117647,4671.058823529412,4671.058823529412
149,5, Graduate, No,2000000,6200000,18,402,4000000,2100000,7200000,1100000,0,13300000,5346600000,862.3548387096774,5.806451612903226,2334.193548387097,389.03225806451616
150,1, Not Graduate, Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,0,42600000,20490600000,1061.6891191709844,2.155440414507772,1036.7668393782385,518.3834196891193
151,5, Graduate, Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,1,39500000,30494000000,1058.8194444444443,1.8541666666666667,1431.4166666666667,238.56944444444446
152,1, Graduate, Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,1,35900000,10985400000,533.2718446601941,0.6310679611650486,193.10679611650488,96.55339805825244
153,2, Not Graduate, No,1300000,4500000,6,415,0,900000,2900000,1200000,0,3800000,1577000000,350.44444444444446,1.7333333333333334,719.3333333333334,239.7777777777778
154,3, Not Graduate, No,9400000,35000000,16,548,18200000,4400000,36100000,4800000,0,58700000,32167600000,919.0742857142857,4.297142857142857,2354.8342857142857,588.7085714285714
155,5, Not Graduate, No,5000000,11200000,8,701,9100000,500000,14000000,4600000,1,23600000,16543600000,1477.107142857143,3.5714285714285716,2503.571428571429,417.2619047619048
156,2, Graduate, No,3000000,7700000,12,890,4700000,4300000,8400000,2100000,1,17400000,15486000000,2011.1688311688313,4.675324675324675,4161.038961038961,1387.012987012987
157,5, Not Graduate, Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000,0,51800000,18855200000,566.2222222222222,1.7837837837837838,649.2972972972973,108.21621621621621
158,5, Graduate, Yes,700000,1300000,20,704,1600000,0,2200000,600000,1,3800000,2675200000,2057.846153846154,10.76923076923077,7581.538461538462,1263.5897435897436
159,3, Graduate, Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000,0,14600000,4642800000,438.0,3.7735849056603774,1200.0,300.0
160,5, Not Graduate, No,3100000,9600000,2,761,5800000,1800000,10400000,4200000,1,18000000,13698000000,1426.875,0.6458333333333334,491.4791666666667,81.91319444444444
161,4, Not Graduate, No,4500000,15100000,6,693,3700000,1500000,17800000,6000000,1,23000000,15939000000,1055.5629139072848,1.7880794701986755,1239.1390728476822,247.82781456953643
162,3, Not Graduate, No,9700000,20600000,16,524,24200000,11100000,27400000,6100000,0,62700000,32854800000,1594.893203883495,7.533980582524272,3947.8058252427186,986.9514563106796
163,2, Not Graduate, Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000,1,10600000,7218600000,1362.0,3.7735849056603774,2569.811320754717,856.6037735849058
164,2, Graduate, Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000,1,61900000,45620300000,2045.7533632286995,6.538116591928251,4818.591928251121,1606.1973094170405
165,0, Not Graduate, No,5700000,15900000,16,638,100000,9500000,16300000,4500000,1,25900000,16524200000,1039.25786163522,5.735849056603773,3659.4716981132074,3659.4716981132074
166,4, Not Graduate, No,5800000,12800000,2,656,500000,5000000,16000000,2800000,1,21500000,14104000000,1101.875,0.90625,594.5,118.9
